Year,Pig Manure (t),Cassava (t),Fish waste water (t),Kitchen food waste (t),Municipal fecal residue (t),Tea waste (t),Chicken litter (t),Bagasse feed (t),Alcohol waste (t),Chinese medicine waste (t),Energy grass (t),Banana fruit shafts (t),Lemon waste (t),Percolate (t),Other waste (t),Raw Biogas Produced (m3)
2014,12.3,0,15,0,0,0,0,36,0,0,0,0,0,0,0,6306
2014,18.38,0,22.42,0,0,0,0,36.8,0,0,0,0,0,0,0,7686
2014,13.48,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,6987
2014,6.54,0,0,0,0,0,0,38,0,0,0,0,0,0,0,5834
2014,9.3,0,0,0,0,0,0,35,0,0,0,0,0,0,0,6021
2014,10.8,0,0,0,0,0,0,19.78,0,0,0,0,0,0,0,6405
2014,4.6,0,0,0,0,0,0,22.7,0,0,0,0,0,0,0,5821
2014,7.58,0,0,0,0,0,0,37,0,0,0,0,0,0,0,6016
2014,7.74,0,0,0,0,0,0,24,0,0,0,0,0,0,0,4224
2014,14,0,0,0,0,0,0,38,0,0,0,0,0,0,0,6433
2014,9.5,0,0,0,0,0,0,36,0,0,0,0,0,0,0,3860
2014,8.6,0,0,0,0,0,0,33.6,0,0,0,0,0,0,0,8184
2014,8.82,0,0,0,0,0,0,40,0,0,0,0,0,0,0,7018
2014,3.14,20,0,0,0,0,0,22.64,0,0,0,0,0,0,0,6893
2014,3.26,40,8.74,0,0,0,0,16.5,0,0,0,0,0,0,0,9121
2014,8.5,40,0,0,0,0,0,8.2,0,0,0,0,0,0,0,10130
2014,7.58,40,0,0,0,0,0,0,0,0,0,0,0,0,0,8529
2014,17.42,24.7,0,0,0,0,0,8,0,0,0,0,0,0,0,8933
2014,6.2,37,13.14,0,0,0,0,8.8,0,0,0,0,0,0,0,8978
2015,6.26,40,0,0,0,0,0,22,0,0,0,0,0,0,0,8175
2015,6.84,40,0,0,0,0,0,21,0,0,0,0,0,0,0,8604
2015,9.76,37,0,0,0,0,0,20,0,0,0,0,0,0,0,7745
2015,10.82,43,0,0,0,0,0,22,0,0,0,0,0,0,0,9245
2015,8.14,42,0,0,0,0,0,21,0,0,0,0,0,0,0,9357
2015,8.84,40,0,0,0,0,0,22,0,0,0,0,0,0,0,10043
